0x0798450fdfa937a2a86b8067941f1112a69d88cc0337e2b1979e18fd92fcd457,36 mins ago,                  QNT ,        93.8935566,                  ETH ,         1.2206182,         0.0130000
0x4c397ad0a88162b07aab2f2922f54b07bdd5787022afb18c8dcebd67d01cdbe8,36 mins ago,                  QNT ,        15.3845028,                  ETH ,         0.1999995,         0.0130001
0x6333a05e858d4e69ed6f0aa53a5f2b30f90f4dfb508e59b4638e3ba913934b58,36 mins ago,                  QNT ,       100.0000000,                  ETH ,         1.3000100,         0.0130001
0x005b505af16dc39ac7021141a47673ebbccf8481ba43ab65402a726791e51602,36 mins ago,                  QNT ,       381.6793893,                  ETH ,         5.0000000,         0.0131000
0xe55211d8d3eb89a3f32e13ddee6f563b223079711f1886ad1468d5ba5b7d1812,36 mins ago,                  QNT ,       241.9845481,                  ETH ,         3.1700000,         0.0131000
0xa367cb383d49380cff8577e42ddcffaea6c0a30229206b8baa378e9e1ebe134b,36 mins ago,                  QNT ,       103.7163911,                  ETH ,         1.3588217,         0.0131013
0x388f7b59f09284fec06e4eacaa511670aa39c1219e5fbe59058a2298abc038bb,37 mins ago,                  QNT ,        76.3281803,                  ETH ,         1.0000000,         0.0131013
0xf25afbd3deb3b0de657cf4f845b4b7846090b33a5fbf1180c741dd2773bff64a,37 mins ago,                  QNT ,       114.4922705,                  ETH ,         1.5000000,         0.0131013
0x4db2f85dc8cffb644a5b6de34b7a8373805112017b7ee8e270acf115c02c33aa,38 mins ago,                  MVL ,    220000.0000000,                  ETH ,         1.0186000,         0.0000046
0x4889c512d5863b277db9c7ad737a9064b54f96e048e7fc073eaacaf293a71536,38 mins ago,                  ETH ,         0.3259064,                  DEC ,       114.1120892,         0.0028560
0x4ef0044435e7715c9d157452270569b232b1bcd65d7f7272bcd7b9000c00eba7,39 mins ago,                  ETH ,        11.9749005,                 FOAM ,     33263.6126000,         0.0003600
0xa8ece6f0d6e4804971be748f196ceff0b6db45d974cbb5f4d0a6677db866114f,40 mins ago,                  ETH ,         0.9007400,                 ICNQ ,      1455.7414141,         0.0006188
0x7c24fe81a9fb41fac6fa9f0a1c70a338738846a85fc1c82b5027fa67dd417251,40 mins ago,                  ETH ,         0.3176431,                 FOAM ,       885.8821785,         0.0003586
0x6b4825dd0c94aa1426f7ecbc37338d2c796738367c071ee7a8e69f8d88b52b3e,40 mins ago,                  ETH ,         0.1592998,                 FOAM ,       443.3862753,         0.0003593
0x505fe901e3ab466d83e377cd65426be357da6f81dd651d813431681e668a34ec,40 mins ago,                  ETH ,         0.8071155,                 FOAM ,      2242.7526648,         0.0003599
